,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
192,1771427,530,9003,전라북도,17,무주군,35,0.9,병원,627.6,1019208,226,13,666.5,1288.6
193,1682549,030,9003,부산광역시,120,동구,21,2.9,병원,336.4,1140751,3354,28,636.8,693.3
194,1683579,120,9003,부산광역시,78,강서구,21,1.9,병원,707,1126270,774,10,1834.5,1738.1
195,1680147,630,9003,전라남도,24,함평군,36,1.5,병원,571.8,912105,265,11,564.2,1181.1
196,1863557,560,9003,충청북도,19,괴산군,33,1.3,병원,947.2,1029411,325,17,960.4,1900.8
197,1979855,570,9003,경기도,51,가평군,31,0.4,병원,514.1,995615,727,14,584.7,1131.7
198,1880161,080,9003,충청남도,130,당진시,34,7.2,병원,550.8,923918,1629,13,743.8,1233.9
199,1734225,040,9003,전라북도,119,정읍시,35,6.2,병원,391.5,946185,1688,14,390.4,842.4
200,1759509,070,9003,대구광역시,642,달서구,22,21.7,병원,354.5,1092938,12718,20,337.1,836.8
201,1682717,070,9003,부산광역시,289,남구,21,7,병원,386.9,1145045,3745,13,319.3,887
202,2027061,560,9003,강원도,29,철원군,32,2.3,병원,589.4,992425,305,11,551.2,1367.9
203,1771515,020,9003,대구광역시,356,동구,22,12,병원,407.5,1106953,4888,14,346.3,921.5
204,1843255,040,9003,경상북도,139,안동시,37,6.5,병원,516.6,1114515,4027,29,482.3,1116.5
205,1932132,150,9003,경기도,407,시흥시,31,3.2,병원,502.3,936582,5916,15,585.3,1219.4
206,1765288,030,9003,대구광역시,188,서구,22,6.3,병원,393.3,1094755,3206,17,420.4,857.6
207,1768092,580,9003,경상북도,32,성주군,37,1.5,병원,579.6,1066173,505,16,795.6,1207.1
208,1929372,170,9003,경기도,124,의왕시,31,1,병원,490.6,954796,1395,11,491,1268.4
209,1907264,140,9003,경기도,196,오산시,31,1.5,병원,486.7,960153,3087,16,386.5,1145.8
210,1890815,020,9003,충청북도,185,충주시,33,12.7,병원,515.4,1035197,3088,17,570.6,1118.3
211,1759147,520,9003,전라북도,15,진안군,35,0.8,병원,715,993679,214,14,711.9,1481.1
212,1818868,520,9003,경상북도,36,의성군,37,1.7,병원,673.4,1100048,530,15,528.4,1308.6
213,1833172,550,9003,경상북도,29,영덕군,37,1.3,병원,584.8,1162824,329,11,503.2,1121.7
214,1918795,192,9003,경기도,366,용인시 기흥구,31,2.9,병원,439.5,966426,5775,16,496.1,1162.2
215,1931789,550,9003,강원도,15,정선군,32,1.2,병원,1084.8,1109697,286,19,1371.5,2211
216,1698240,070,9003,경상남도,435,김해시,38,15,병원,485.9,1122348,9118,21,579.7,1194
217,1691272,520,9003,전라남도,25,곡성군,36,1.5,병원,512,978484,358,14,546.2,1041.8
218,1941043,210,9003,서울특별시,547,관악구,11,3.8,병원,461.8,950955,5313,10,227.7,858.9
219,1749288,570,9003,경상북도,22,고령군,37,1,병원,617.1,1072951,215,10,968.3,1284.5
220,1969907,030,9003,강원도,185,강릉시,32,14.5,병원,535.7,1119321,4211,23,528,1144
