,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
178,1810517,070,J002,충청남도,16,계룡시,34,1.4,약국,992.6,976157,31,2,730.5,2538.4
179,1780820,030,J002,전라북도,171,익산시,35,14.7,약국,701.4,954003,426,2,710.4,1589.6
180,1725932,020,J002,울산광역시,167,남구,26,36.8,약국,790.4,1165882,485,3,1036.6,1834.5
181,1726980,030,J002,울산광역시,71,동구,26,15.6,약국,875.4,1174664,193,3,1066,2118.1
182,1886425,570,J002,충청북도,45,음성군,33,5.6,약국,912,1010166,105,2,1841.8,1941.3
183,1945232,050,J002,경기도,409,부천시,31,7,약국,779.9,937136,1143,3,766,1898.5
184,1965612,230,J002,경기도,170,김포시,31,2.9,약국,1074.8,920515,488,3,1242.1,2720.3
185,1724051,530,J002,경상남도,36,창녕군,38,2.3,약국,753,1090049,82,2,786.9,1558.4
186,1862923,011,J002,충청남도,131,천안시 동남구,34,11.7,약국,857,975091,381,3,967.1,1956.5
187,1714087,050,J002,전라북도,60,남원시,35,5.2,약국,573.1,994727,154,3,515.7,1246
188,1740147,540,J002,전라북도,12,장수군,35,1,약국,787.7,1004009,24,2,817.3,1648.7
189,1867811,040,J002,충청남도,138,아산시,34,12.3,약국,980.3,953620,364,3,1431.9,2305.3
190,1895892,030,J002,충청북도,65,제천시,33,8.1,약국,924.4,1056981,175,3,910.6,2010.9
191,1688812,040,J002,광주광역시,231,북구,24,28.1,약국,805.1,947690,569,2,768.5,1849.5
192,1771427,530,J002,전라북도,19,무주군,35,1.6,약국,561.5,1019208,33,2,596.3,1153
193,1682549,030,J002,부산광역시,72,동구,21,4.2,약국,560.7,1140751,152,2,1061.4,1155.6
194,1683579,120,J002,부산광역시,41,강서구,21,2.4,약국,1345,1126270,98,2,3490,3306.5
195,1680147,630,J002,전라남도,20,함평군,36,2,약국,686.2,912105,38,2,677.1,1417.4
196,1863557,560,J002,충청북도,15,괴산군,33,1.9,약국,1199.8,1029411,30,2,1216.5,2407.7
197,1979855,570,J002,경기도,28,가평군,31,0.5,약국,936.5,995615,63,2,1065,2061.3
198,1880161,080,J002,충청남도,84,당진시,34,7.5,약국,852.4,923918,218,3,1151.2,1909.6
199,1734225,040,J002,전라북도,79,정읍시,35,6.8,약국,589.7,946185,197,2,588.1,1269
200,1759509,070,J002,대구광역시,283,달서구,22,19.9,약국,804.2,1092938,743,3,764.8,1898.3
201,1682717,070,J002,부산광역시,125,남구,21,7.3,약국,894.5,1145045,300,2,738.2,2050.6
202,2027061,560,J002,강원도,24,철원군,32,3.1,약국,712.2,992425,43,2,666.1,1652.9
203,1771515,020,J002,대구광역시,192,동구,22,13.5,약국,755.6,1106953,479,2,642.1,1708.5
204,1843255,040,J002,경상북도,77,안동시,37,5.9,약국,932.5,1114515,250,3,870.7,2015.5
205,1932132,150,J002,경기도,186,시흥시,31,3.2,약국,1099.1,936582,529,3,1280.8,2668.2
206,1765288,030,J002,대구광역시,114,서구,22,8,약국,648.6,1094755,282,2,693.3,1414.3
207,1768092,580,J002,경상북도,26,성주군,37,2,약국,713.3,1066173,41,2,979.2,1485.7
208,1929372,170,J002,경기도,49,의왕시,31,0.8,약국,1241.4,954796,110,2,1242.4,3209.8
209,1907264,140,J002,경기도,92,오산시,31,1.6,약국,1036.8,960153,273,3,823.5,2441.1
210,1890815,020,J002,충청북도,106,충주시,33,13.2,약국,899.5,1035197,326,3,995.9,1951.7
211,1759147,520,J002,전라북도,15,진안군,35,1.3,약국,715,993679,29,2,711.9,1481.1
212,1818868,520,J002,경상북도,30,의성군,37,2.3,약국,808.1,1100048,57,2,634,1570.3
213,1833172,550,J002,경상북도,25,영덕군,37,1.9,약국,678.3,1162824,47,2,583.7,1301.2
214,1918795,192,J002,경기도,162,용인시 기흥구,31,2.8,약국,992.8,966426,441,3,1120.8,2625.8
215,1931789,550,J002,강원도,16,정선군,32,2.1,약국,1017,1109697,23,1,1285.8,2072.8
216,1698240,070,J002,경상남도,206,김해시,38,13.4,약국,1026,1122348,570,3,1224.2,2521.4
217,1691272,520,J002,전라남도,18,곡성군,36,1.8,약국,711.2,978484,29,2,758.7,1446.9
218,1941043,210,J002,서울특별시,231,관악구,11,4,약국,1093.6,950955,503,2,539.2,2033.9
219,1749288,570,J002,경상북도,13,고령군,37,1,약국,1044.3,1072951,30,2,1638.6,2173.7
220,1969907,030,J002,강원도,101,강릉시,32,13,약국,981.2,1119321,332,3,967.1,2095.5
221,1912332,210,J002,경기도,106,이천시,31,1.8,약국,822.9,998312,285,3,1289,2051.8
222,1924270,091,J002,경기도,125,안산시 상록구,31,2.1,약국,1147.2,944230,279,2,730.3,2715.9
